"","dorm","gender","race","gap_year","international","pre-orientation","sports","first_meet","second_meet","third_meet","fourth-meet","know_street","know_by_name","know_annenberg","satisfied","extra","respondent_id","first_id","second_id","third_id","fourth_id","most_id"
"67","Grays Hall","Male","Asian / Pacific Islander","No","No","FCU - Fall Clean-Up with Dorm Crew","Yes (Intermural)","Classes, Dorm, Pre-Orientation, Social Events, Mutual Friends, Social Media, Athletics, Academic/Pre-Professional Organization, Creative/Performing Arts Organization, Cultural/Racial Organization, Religious Organization, Public Service Organization, Government/Politics Organization","Mutual Friends","Mutual Friends","Classes","500-1000","50-100","0-20","Satisfied",NA,485,485,1275,1617,1601,1617
"68","Canaday Hall","Female","White","No","No","None","No","Dorm","Classes","Creative/Performing Arts Organization","Creative/Performing Arts Organization","50-100","0-50","0-20","Very Satisfied",NA,1137,424,13,1245,350,1575
"69","Weld Hall","Female","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","No","Classes, Mutual Friends, Academic/Pre-Professional Organization, visitas","Classes, Dorm","Classes, Mutual Friends","Dorm, Academic/Pre-Professional Organization, Cultural/Racial Organization","0-50","0-50","0-20","Dissatisfied",NA,849,1221,37,259,1080,1512
"70","Thayer Hall","Male","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","No","Dorm","Dorm","Classes","Pre-Orientation","100-250","250-500","50-100","Dissatisfied",NA,295,243,1435,1615,1173,1575
"71","Straus Hall","Female","White","No","No","FCU - Fall Clean-Up with Dorm Crew","No","Creative/Performing Arts Organization, WHRB Harvard Radio Broadcasting","Dorm","Dorm","Classes","250-500","100-250","0-20","Neutral",NA,1431,435,1589,908,807,1363
"72","Wigglesworth Hall","Male","White","Yes","No","FOP - First-Year Outdoor Program","Yes (Varsity)","Dorm","Dorm","Classes","Dorm","100-250","50-100","20-50","Very Satisfied",NA,1257,415,432,1261,482,1363
"73","Greenough Hall","Male","White","No","No","None","No","Dorm","Dorm","Dorm","Dorm","250-500","50-100","0-20","Dissatisfied",NA,130,954,1537,227,563,1575
"74","Straus Hall","Female","White","No","No","FOP - First-Year Outdoor Program","Yes (Club)","Pre-Orientation","Dorm","Dorm","Dorm","500-1000","250-500","50-100","Very Satisfied",NA,1630,1047,753,1345,255,1575
"75","Wigglesworth Hall","Male","White","No","No","None","No","Visitas","Visitas","Social Events","Social Events","50-100","0-50","0-20","Satisfied",NA,1646,168,36,480,887,1387
"76","Massachusetts Hall","Female","Asian / Pacific Islander","No","No","FCU - Fall Clean-Up with Dorm Crew","No","Dorm, Pre-Orientation, Mutual Friends","Classes, Pre-Orientation, Social Events, Mutual Friends, Cultural/Racial Organization, Knew before Harvard","Pre-Orientation, Mutual Friends","Classes, Mutual Friends","250-500","100-250","0-20","Neutral",NA,689,1089,1519,289,493,1570
"77","Hollis Hall","Female","Asian / Pacific Islander","No","No","None","Yes (Intermural)","Dorm","High School","Dorm","Dorm","100-250","50-100","0-20","Satisfied",NA,246,1651,220,1534,1387,1011
"78","Grays Hall","Male","White","No","No","None","Yes (Varsity)","Dorm","Social Events","Home","Social Events","100-250","100-250","100-250","Very Satisfied",NA,780,178,42,744,958,1588
"79","Wigglesworth Hall","Female","White","No","No","FOP - First-Year Outdoor Program","Yes (Club)","Dorm","Classes, Athletics","Athletics","Classes, Pre-Orientation","50-100","0-50","0-20","Neutral",NA,724,458,1573,466,1094,1011
"80","Matthews Hall","Female","White, Asian / Pacific Islander","No","No","None","No","Mutual Friends","Social Events","Mutual Friends","Social Events","250-500","100-250","0-20","Satisfied",NA,168,480,36,1098,887,1011
"81","Lionel Hall","Male","White","No","No","None","Yes (Varsity)","Athletics","Athletics","Athletics","Athletics","50-100","0-50","0-20","Very Dissatisfied",NA,520,1396,107,149,1209,75
"82","Thayer Hall","Male","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","Yes (Intermural)","Classes, Social Events, Mutual Friends, Religious Organization","Classes, Social Events, Mutual Friends, Religious Organization","Classes, Social Events, Mutual Friends, Religious Organization","Classes, Social Events, Mutual Friends, Religious Organization","100-250","50-100","500-1000","Satisfied",NA,630,630,878,1150,1401,756
"83","Wigglesworth Hall","Female","White","Yes","Yes","None","Yes (Varsity)","Athletics","Dorm","Athletics","Athletics","0-50","0-50","0-20","Satisfied",NA,860,334,268,478,1287,478
"84","Canaday Hall","Female","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","No","Pre-Orientation","Academic/Pre-Professional Organization","Pre-Orientation","Mutual Friends","0-50","50-100","20-50","Dissatisfied",NA,916,868,246,510,508,510
"85","Canaday Hall","Female","White","No","No","None","No","Classes, Social Events, Mutual Friends","Classes, Mutual Friends","Classes, Social Events","Pre-Orientation, Social Events, Mutual Friends","50-100","50-100","20-50","Very Satisfied",NA,1532,845,394,42,297,875
"86","Weld Hall","Female","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","No","Dorm","Creative/Performing Arts Organization, Hometown","Social Events, Mutual Friends","Classes, Mutual Friends, Creative/Performing Arts Organization","250-500","100-250","50-100","Satisfied",NA,1642,1622,553,921,285,1011
"87","Wigglesworth Hall","Male","White, Hispanic or Latino","No","No","FYRE - First-Year Retreat and Experience","No","Dorm","Mutual Friends, We are both from the same place.","Mutual Friends, We are both from the same place.","Pre-Orientation, Mutual Friends","50-100","0-50","20-50","Satisfied",NA,1046,1539,1254,1493,871,1487
"88","Hollis Hall","Female","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","No","Visit weekend","Dorm","Pre-Orientation","Classes","250-500","100-250","250-500","Satisfied",NA,639,1579,879,1102,892,639
"89","Hurlbut Hall","Female","White","No","No","None","Yes (Varsity)","Athletics","Athletics","Athletics","Athletics","0-50","50-100","20-50","Very Satisfied",NA,1162,643,1536,1012,511,813
"90","Pennypacker Hall","Female","White","No","Yes","FIP - First-Year International Program","Yes (Club)","Pre-Orientation","Pre-Orientation","Pre-Orientation","Mutual Friends","100-250","50-100","20-50","Satisfied",NA,86,751,751,1495,727,96
"91","Wigglesworth Hall","Male","White","No","No","None","Yes (Varsity)","Athletics","Athletics","Athletics","Athletics","50-100","50-100","0-20","Satisfied",NA,1378,978,1386,1195,1191,1397
"92","Holworthy Hall","Male","White","No","Yes","FIP - First-Year International Program","Yes (Varsity)","Dorm","Dorm","Athletics","Dorm","50-100","50-100","100-250","Satisfied",NA,1610,1353,659,634,1481,634
"93","Holworthy Hall","Male","White, Hispanic or Latino","No","No","FCU - Fall Clean-Up with Dorm Crew","Yes (Intermural)","Pre-Orientation","Classes, Mutual Friends","Pre-Orientation","Mutual Friends","100-250","0-50","500-1000","Very Satisfied",NA,690,1548,762,783,1119,1134
"94","Hurlbut Hall","Female","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","No","Dorm","Pre-Orientation, Mutual Friends","Pre-Orientation, Mutual Friends","Dorm","250-500","100-250","20-50","Satisfied",NA,1604,1132,814,431,1032,582
"95","Holworthy Hall","Female","Asian / Pacific Islander","No","No","FCU - Fall Clean-Up with Dorm Crew","Yes (Varsity)","Pre-Orientation","Athletics","Athletics","Athletics","50-100","50-100","20-50","Very Satisfied",NA,1588,744,598,207,1188,9999
"96","Canaday Hall","Male","White","No","No","FCU - Fall Clean-Up with Dorm Crew","No","Mutual Friends","Social Media","Mutual Friends","Mutual Friends","50-100","0-50","0-20","Dissatisfied",NA,609,838,357,1515,823,823
"97","Grays Hall","Female","White, Hispanic or Latino","No","No","FOP - First-Year Outdoor Program","No","Model UN","Dorm, Pre-Orientation","Model UN","Dorm","0-50","0-50","0-20","Neutral",NA,549,1077,174,1229,714,1229
"98","Canaday Hall","Female","White","No","No","FOP - First-Year Outdoor Program","No","Went to high school together","Pre-Orientation","Dorm","Mutual Friends","250-500","100-250","50-100","Very Satisfied",NA,1543,451,1552,1382,1524,688
"99","Thayer Hall","Female","White, Black or African American","No","No","FCU - Fall Clean-Up with Dorm Crew","Yes (Intermural)","Pre-Orientation","Creative/Performing Arts Organization","Pre-Orientation","Mutual Friends","250-500","100-250","0-20","Dissatisfied",NA,1538,1343,350,1570,273,1575
"100","Thayer Hall","Female","Asian / Pacific Islander","No","No","None","Yes (Varsity)","Classes","Classes, Dorm","Dorm","Dorm","250-500","100-250","50-100","Very Satisfied",NA,845,1532,394,772,435,9999
"101","Hollis Hall","Male","White","No","No","FCU - Fall Clean-Up with Dorm Crew","No","Social Events, Government/Politics Organization","Classes, Creative/Performing Arts Organization","Classes","Pre-Orientation","250-500","100-250","50-100","Neutral",NA,343,1470,759,1436,981,9999
"102","Pennypacker Hall","Female","Asian / Pacific Islander","No","No","FAP - First-Year Arts Program","No","Pre-Orientation","Pre-Orientation","Dorm","Classes","50-100","50-100","20-50","Satisfied",NA,1643,400,821,602,1207,1575
"103","Straus Hall","Female","Hispanic or Latino","No","No","FCU - Fall Clean-Up with Dorm Crew","No","Pre-Orientation, Mutual Friends, Creative/Performing Arts Organization","Creative/Performing Arts Organization","Dorm, Pre-Orientation","Classes","0-50","50-100","500-1000","Very Satisfied",NA,627,632,350,1612,9999,9999
"104","Weld Hall","Male","White","No","No","FUP - First-Year Urban Program","No","Pre-Orientation","Mutual Friends","Dorm","Mutual Friends","100-250","100-250","20-50","Satisfied",NA,838,136,1365,587,1362,1363
"105","Hollis Hall","Male","Hispanic or Latino","No","No","FYRE - First-Year Retreat and Experience","No","Visitas","Visitas","Dorm","Mutual Friends","0-50","0-50","0-20","Neutral",NA,1124,113,1044,1134,1568,1134
"106","Canaday Hall","Female","White, Hispanic or Latino, Asian / Pacific Islander","No","No","FAP - First-Year Arts Program","No","Pre-Orientation","Pre-Orientation","Pre-Orientation","Social Media","50-100","100-250","50-100","Satisfied",NA,708,257,1251,1292,702,1575
"107","Apley Court","Female","White, Hispanic or Latino","No","No","FUP - First-Year Urban Program","No","Dorm, Social Events, Mutual Friends, Social Media, Harvard Ed Portal Mentor","Dorm, Social Events, Mutual Friends, Social Media, WHRB","Pre-Orientation, Social Events, Mutual Friends, Social Media, Cultural/Racial Organization, Home","Dorm, Social Events, Mutual Friends","50-100","100-250","20-50","Very Satisfied",NA,936,1269,1653,1037,195,1363
"108","Matthews Hall","Male","Black or African American","No","No","FOP - First-Year Outdoor Program","No","Scholarship","Classes, Social Events, Mutual Friends, Social Media, Creative/Performing Arts Organization","Classes, Dorm","Mutual Friends","250-500","100-250","20-50","Satisfied",NA,1469,428,1180,663,662,1078
"109","Weld Hall","Male","White, Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","Yes (Club)","Dorm","Dorm","Dorm","Religious Organization","50-100","0-50","0-20","Neutral",NA,495,236,749,1545,550,236
"110","Matthews Hall","Male","White, Hispanic or Latino","No","Yes","FIP - First-Year International Program","Yes (Club)","Social Events","We met at a Harvard Club of Spain event in Madrid","Pre-Orientation","Pre-Orientation","500-1000","250-500","100-250","Very Satisfied",NA,534,355,594,322,412,1512
"111","Matthews Hall","Female","Black or African American","No","No","None","No","Classes, Social Events, Religious Organization","Social Events","Classes, Religious Organization","Religious Organization","50-100","50-100","20-50","Satisfied",NA,910,423,303,346,1371,303
"112","Weld Hall","Female","Hispanic or Latino","No","No","FUP - First-Year Urban Program","No","Dorm","high school","Mutual Friends","Mutual Friends","0-50","0-50","0-20","Satisfied",NA,60,1429,9999,1108,100,1108
"113","Apley Court","Female","White","No","No","FOP - First-Year Outdoor Program","No","Pre-Orientation","Dorm","Pre-Orientation","Dorm","100-250","100-250","20-50","Very Satisfied",NA,1269,369,936,233,1653,1575
"114","Canaday Hall","Male","White","No","No","FUP - First-Year Urban Program","No","Pre-Orientation","Creative/Performing Arts Organization","Visitas","Pre-Orientation","250-500","50-100","20-50","Dissatisfied","Very cliquey (black group, athletes, etc)",1488,154,1062,731,884,1011
"115","Canaday Hall","Female","White, Hispanic or Latino","No","No","FOP - First-Year Outdoor Program","Yes (Varsity)","Athletics","Dorm","Dorm","High school","100-250","50-100","20-50","Very Satisfied",NA,679,206,1442,1233,725,9999
