"","id","dorm","gender","race","gap_year","international","pre-orientation","sports","first_id","first_meet","second_id","second_meet","third_id","third_meet","fourth_id","fourth-meet","most_id","know_street","know_by_name","know_annenberg","satisfied","extra"
"20",862,"Pennypacker Hall","Male","White","No","No","FOP - First-Year Outdoor Program","No",380,"Dorm",426,"Classes",1283,"Mutual Friends",1312,"Dorm",977,"100-250","50-100","0-20","Satisfied",NA
"21",1626,"Canaday Hall","Male","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","Yes (Club)",875,"Classes, Pre-Orientation, Social Events, Mutual Friends, Social Media",275,"Classes, Pre-Orientation, Social Events, Mutual Friends",1406,"Classes, Pre-Orientation, Social Events, Mutual Friends, Social Media, Academic/Pre-Professional Organization",1570,"Pre-Orientation, Social Events, Mutual Friends, Social Media",1570,"250-500","100-250","50-100","Satisfied",NA
"22",1481,"Holworthy Hall","Male","White","No","No","None","No",425,"We went to high school together",659,"Dorm",1610,"Dorm",1353,"Dorm",1654,"100-250","50-100","0-20","Satisfied",NA
"23",513,"Mower Hall","Female","White, Hispanic or Latino","No","No","FOP - First-Year Outdoor Program","Yes (Varsity)",863,"Dorm",1565,"Athletics",440,"Social Events",1654,NA,417,"0-50","0-50","0-20","Dissatisfied",NA
"24",1110,"Apley Court","Male","White, Hispanic or Latino","No","No","FOP - First-Year Outdoor Program","Yes (Club)",886,"Classes, Mutual Friends, Athletics",974,"Mutual Friends, Athletics",1523,"Pre-Orientation, Mutual Friends",1069,"Mutual Friends",1011,"100-250","50-100","250-500","Very Satisfied",NA
"25",757,"Apley Court","Male","White, Asian / Pacific Islander","No","No","FCU - Fall Clean-Up with Dorm Crew","No",182,"Dorm",731,"Classes, Dorm",1507,"Mutual Friends",671,"Dorm",1570,"500-1000","100-250","50-100","Neutral",NA
"26",32,"Pennypacker Hall","Female","White, Arabic or Middle Eastern","No","No","FIP - First-Year International Program","No",1654,"Classes, Dorm, Pre-Orientation",1654,"Classes, Dorm",1654,"Classes, Dorm, Pre-Orientation",1654,"Classes, Dorm, Pre-Orientation",NA,"0-50","0-50","0-20","Dissatisfied",NA
"27",529,"Weld Hall","Female","White","No","Yes","FIP - First-Year International Program","Yes (Varsity)",775,"Visitas",1654,"Pre-Orientation",1144,"Pre-Orientation",472,"Pre-Orientation",1654,"50-100","50-100","0-20","Satisfied",NA
"28",1027,"Thayer Hall","Female","Arabic or Middle Eastern","No","No","FYRE - First-Year Retreat and Experience","No",1097,"Visitas",1282,"Visitas",3,"Visitas",420,"Visitas",99,"100-250","50-100","50-100","Satisfied",NA
"29",280,"Lionel Hall","Male","White, Asian / Pacific Islander","No","No","FCU - Fall Clean-Up with Dorm Crew","No",55,"High school",335,"Mutual Friends",830,"Dorm",1430,"Dorm",1041,"250-500","100-250","20-50","Neutral",NA
"30",471,"Canaday Hall","Female","White","No","No","None","No",53,"Dorm",533,"Dorm",1573,"Pre-Orientation, Social Events",1536,"Dorm",1575,"50-100","0-50","0-20","Satisfied",NA
"31",303,"Canaday Hall","Female","Black or African American","No","No","FYRE - First-Year Retreat and Experience","No",244,"Pre-Orientation",273,"Classes, Mutual Friends",1180,"Over the summer for a program",1575,"Social Media, In high school Speech and Debate",1575,"250-500","100-250","50-100","Satisfied",NA
"32",672,"Weld Hall","Male","White","No","No","None","Yes (Varsity)",591,"Athletics",204,"Athletics",98,"Athletics",478,"Athletics",974,"50-100","0-50","500-1000","Dissatisfied",NA
"33",263,"Thayer Hall","Male","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","Yes (Club)",1150,"Classes",563,"Pre-Orientation",540,"Mutual Friends",1021,"Dorm",540,"100-250","100-250","500-1000","Neutral",NA
"34",722,"Grays Hall","Male","White","No","Yes","FOP - First-Year Outdoor Program","No",285,"Social Media",147,"Lamont Library",315,"Classes",727,"Dorm",1575,"250-500","100-250","50-100","Dissatisfied",NA
"35",965,"Thayer Hall","Male","White, Arabic or Middle Eastern","No","No","FYRE - First-Year Retreat and Experience, FCU - Fall Clean-Up with Dorm Crew","No",1097,"Mutual Friends, High school",709,"Classes, Dorm, Pre-Orientation, Mutual Friends, Social Media, Academic/Pre-Professional Organization",3,"Classes, Dorm, Pre-Orientation, Mutual Friends",1027,"Classes, Dorm, Pre-Orientation, Social Events, Mutual Friends",624,"100-250","0-50","20-50","Very Satisfied",NA
"36",925,"Wigglesworth Hall","Male","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","No",595,"Dorm",872,"Classes, Mutual Friends",791,"Dorm, Cultural/Racial Organization",508,"Dorm, Social Events, Mutual Friends, Creative/Performing Arts Organization, Cultural/Racial Organization",903,"50-100","100-250","20-50","Neutral",NA
"37",614,"Canaday Hall","Male","White","No","No","FCU - Fall Clean-Up with Dorm Crew","Yes (Intermural)",959,"Social Events, Athletics",747,"Dorm, Roommate!",514,"Dorm, Roommate",1573,"Social Media",1575,"250-500","50-100","20-50","Satisfied",NA
"38",754,"Wigglesworth Hall","Female","Asian / Pacific Islander","No","No","FCU - Fall Clean-Up with Dorm Crew","No",1388,"Dorm",287,"Classes, Social Events",681,"Social Events, Mutual Friends, Social Media",854,"Social Events, Mutual Friends",99,"100-250","100-250","0-20","Neutral",NA
"39",1216,"Holworthy Hall","Female","White","No","No","FOP - First-Year Outdoor Program","Yes (Club)",327,"Dorm",1111,"Dorm",553,"Dorm",1134,"Pre-Orientation",1134,"250-500","0-50","20-50","Satisfied",NA
"40",249,"Mower Hall","Female","Asian / Pacific Islander","No","No","FAP - First-Year Arts Program","No",1080,"Pre-Orientation, Social Events, Religious Organization",794,"Classes",599,"Mutual Friends",330,"Pre-Orientation",1654,"500-1000","250-500","20-50","Satisfied",NA
"41",1319,"Greenough Hall","Female","White","No","No","FUP - First-Year Urban Program","No",27,"Classes",1565,"Classes, Pre-Orientation",948,"Pre-Orientation",1133,"Classes, Mutual Friends",1611,"50-100","50-100","0-20","Neutral",NA
"42",334,"Massachusetts Hall","Female","Hispanic or Latino","No","No","None","Yes (Varsity)",860,"Academic/Pre-Professional Organization",268,"Classes, Mutual Friends",478,"Athletics",1638,"Classes, Dorm",1575,"50-100","0-50","20-50","Neutral",NA
"43",1633,"Canaday Hall","Female","Asian / Pacific Islander","No","No","FCU - Fall Clean-Up with Dorm Crew","Yes (Club)",1570,"Pre-Orientation",1570,"Mutual Friends",1570,"Social Media",1570,"Classes",1570,"1000+","500-1000","250-500","Very Satisfied",NA
"44",915,"Canaday Hall","Male","White","No","No","None","No",557,"Classes",506,"Mutual Friends",912,"Government/Politics Organization",991,"Mutual Friends",1363,"250-500","100-250","20-50","Satisfied",NA
"45",1478,"Matthews Hall","Male","White","Yes","Yes","FIP - First-Year International Program","Yes (Varsity)",1654,"Athletics",1654,"Social Media",1654,"Religious Organization",1654,"Social Events, Social Media",1654,"50-100","0-50","20-50","Satisfied",NA
"46",1537,"Greenough Hall","Female","White","No","No","FOP - First-Year Outdoor Program","No",130,"Dorm, Pre-Orientation",563,"Dorm, Pre-Orientation, Mutual Friends",954,"Dorm, Mutual Friends",540,"Dorm, Pre-Orientation, Mutual Friends",114,"0-50","50-100","0-20","Dissatisfied",NA
"47",564,"Wigglesworth Hall","Male","Hispanic or Latino","No","No","None","No",997,"Dorm, Pre-Orientation",1047,"Classes, Pre-Orientation, Mutual Friends",753,"Mutual Friends",247,"Classes, Dorm",1575,"0-50","0-50","250-500","Neutral",NA
"48",630,"Wigglesworth Hall","Male","Asian / Pacific Islander","No","No","FYRE - First-Year Retreat and Experience","No",756,"Religious Organization",878,"Religious Organization",1401,"Orientation",766,"Dorm",1570,"100-250","50-100","20-50","Very Satisfied",NA
"49",1321,"Mower Hall","Female","White, Black or African American, Asian / Pacific Islander","No","No","None","Yes (Varsity)",309,"Classes, Social Events, Mutual Friends",581,"Social Events, Athletics",484,"Social Events, Athletics",461,"Social Events, Mutual Friends",21,"100-250","50-100","20-50","Very Satisfied",NA
"50",31,"Pennypacker Hall","Female","Arabic or Middle Eastern","No","No","FOP - First-Year Outdoor Program","Yes (Club)",419,"Dorm",32,"Dorm",622,"Pre-Orientation",3,"Cultural/Racial Organization",99,"100-250","50-100","50-100","Satisfied",NA
"51",526,"Stoughton Hall","Male","White, Black or African American","No","No","None","Yes (Intermural)",706,"Dorm",893,"Dorm",1086,"Classes, Mutual Friends",983,"Classes",1654,"0-50","0-50","0-20","Dissatisfied",NA
"52",618,"Wigglesworth Hall","Female","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","No",832,"Dorm",151,"Dorm",1579,"Dorm",902,"Dorm",1575,"50-100","0-50","50-100","Satisfied",NA
"53",1461,"Mower Hall","Female","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","No",1475,"Mutual Friends",791,"Planned a conference together",247,"Mutual Friends",797,"Mutual Friends",903,"250-500","100-250","20-50","Satisfied",NA
"54",1139,"Holworthy Hall","Female","White, Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","No",1392,"Dorm",1580,"Dorm",1073,"Mutual Friends",385,"Sweet Greens",1654,"100-250","50-100","20-50","Satisfied",NA
"55",1401,"Pennypacker Hall","Female","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","Yes (Club)",1654,"This is me",1654,"This is me",1654,"This is me",1654,"This is me",75,"100-250","100-250","0-20","Very Satisfied",NA
"56",1611,"Wigglesworth Hall","Male","White","No","No","FUP - First-Year Urban Program","No",1010,"Pre-Orientation",1603,"Pre-Orientation",105,"Pre-Orientation",1083,"Classes",1363,"100-250","50-100","50-100","Satisfied",NA
"57",467,"Canaday Hall","Male","White, Black or African American","No","No","FCU - Fall Clean-Up with Dorm Crew","No",873,"Pre-Orientation",1343,"Scholarship",898,"Mutual Friends",1570,"Pre-Orientation",1570,"100-250","50-100","20-50","Neutral",NA
"58",359,"Straus Hall","Male","White, Hispanic or Latino","No","No","None","No",1438,"Classes",1440,"Dorm",81,"Dorm",255,"Dorm",1512,"100-250","100-250","20-50","Satisfied",NA
"59",478,"Weld Hall","Female","White","No","No","None","Yes (Varsity)",512,"Mutual Friends",204,"Athletics",1287,"Athletics",202,"Dorm",1575,"100-250","100-250","20-50","Satisfied",NA
"60",737,"Weld Hall","Female","White, Hispanic or Latino","No","No","FOP - First-Year Outdoor Program","No",498,"Pre-Orientation",1408,"Dorm",559,"Pre-Orientation",957,"Pre-Orientation",97,"50-100","0-50","0-20","Neutral",NA
"61",1405,"Wigglesworth Hall","Male","White","No","No","FOP - First-Year Outdoor Program","Yes (Club)",81,"Public Service Organization",343,"Annenberg",148,"Pre-Orientation",1341,"Social Events",1134,"100-250","50-100","0-20","Dissatisfied",NA
"62",202,"Weld Hall","Female","White","No","No","None","Yes (Varsity)",478,"Dorm",490,"Athletics",1588,"Athletics",598,"Athletics",1575,"250-500","100-250","20-50","Satisfied",NA
"63",991,"Greenough Hall","Male","Black or African American","No","No","FOP - First-Year Outdoor Program","No",912,"Classes, Social Events, Mutual Friends",506,"Classes, Social Events, Mutual Friends",557,"Classes, Pre-Orientation, Social Media, Religious Organization",915,"Classes, Social Events, Mutual Friends",775,"500-1000","100-250","50-100","Satisfied",NA
"64",607,"Matthews Hall","Female","Hispanic or Latino","No","No","FCU - Fall Clean-Up with Dorm Crew","No",1290,"Pre-Orientation",970,"Pre-Orientation",241,"Cultural/Racial Organization",259,"Social Events",1575,"100-250","50-100","0-20","Satisfied",NA
"65",404,"Canaday Hall","Female","White","No","No","None","Yes (Varsity)",1020,"Athletics",677,"Athletics",123,"Mutual Friends",1533,"Mutual Friends",236,"50-100","50-100","0-20","Satisfied",NA
"66",255,"Straus Hall","Male","White, Hispanic or Latino","No","No","FOP - First-Year Outdoor Program","Yes (Club)",81,"Dorm",1440,"Dorm",359,"Dorm",660,"Mutual Friends",1584,"0-50","50-100","0-20","Dissatisfied",NA
"67",485,"Grays Hall","Male","Asian / Pacific Islander","No","No","FCU - Fall Clean-Up with Dorm Crew","Yes (Intermural)",485,"Classes, Dorm, Pre-Orientation, Social Events, Mutual Friends, Social Media, Athletics, Academic/Pre-Professional Organization, Creative/Performing Arts Organization, Cultural/Racial Organization, Religious Organization, Public Service Organization, Government/Politics Organization",1275,"Mutual Friends",1617,"Mutual Friends",1601,"Classes",1617,"500-1000","50-100","0-20","Satisfied",NA
"68",1137,"Canaday Hall","Female","White","No","No","None","No",424,"Dorm",13,"Classes",1245,"Creative/Performing Arts Organization",350,"Creative/Performing Arts Organization",1575,"50-100","0-50","0-20","Very Satisfied",NA
"69",849,"Weld Hall","Female","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","No",1221,"Classes, Mutual Friends, Academic/Pre-Professional Organization, visitas",37,"Classes, Dorm",259,"Classes, Mutual Friends",1080,"Dorm, Academic/Pre-Professional Organization, Cultural/Racial Organization",1512,"0-50","0-50","0-20","Dissatisfied",NA
"70",295,"Thayer Hall","Male","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","No",243,"Dorm",1435,"Dorm",1615,"Classes",1173,"Pre-Orientation",1575,"100-250","250-500","50-100","Dissatisfied",NA
"71",1431,"Straus Hall","Female","White","No","No","FCU - Fall Clean-Up with Dorm Crew","No",435,"Creative/Performing Arts Organization, WHRB Harvard Radio Broadcasting",1589,"Dorm",908,"Dorm",807,"Classes",1363,"250-500","100-250","0-20","Neutral",NA
"72",1257,"Wigglesworth Hall","Male","White","Yes","No","FOP - First-Year Outdoor Program","Yes (Varsity)",415,"Dorm",432,"Dorm",1261,"Classes",482,"Dorm",1363,"100-250","50-100","20-50","Very Satisfied",NA
"73",130,"Greenough Hall","Male","White","No","No","None","No",954,"Dorm",1537,"Dorm",227,"Dorm",563,"Dorm",1575,"250-500","50-100","0-20","Dissatisfied",NA
"74",1630,"Straus Hall","Female","White","No","No","FOP - First-Year Outdoor Program","Yes (Club)",1047,"Pre-Orientation",753,"Dorm",1345,"Dorm",255,"Dorm",1575,"500-1000","250-500","50-100","Very Satisfied",NA
"75",1646,"Wigglesworth Hall","Male","White","No","No","None","No",168,"Visitas",36,"Visitas",480,"Social Events",887,"Social Events",1387,"50-100","0-50","0-20","Satisfied",NA
"76",1433,"Weld Hall","Female","White, Hispanic or Latino","No","Yes","FIP - First-Year International Program","No",1654,"Mutual Friends, Cultural/Racial Organization",NA,"Classes, Pre-Orientation, Social Events",NA,"Classes, Government/Politics Organization",1654,"Classes, Athletics",1512,"1000+","500-1000","20-50","Very Satisfied",NA
"77",689,"Massachusetts Hall","Female","Asian / Pacific Islander","No","No","FCU - Fall Clean-Up with Dorm Crew","No",1089,"Dorm, Pre-Orientation, Mutual Friends",1519,"Classes, Pre-Orientation, Social Events, Mutual Friends, Cultural/Racial Organization, Knew before Harvard",289,"Pre-Orientation, Mutual Friends",493,"Classes, Mutual Friends",1570,"250-500","100-250","0-20","Neutral",NA
"78",246,"Hollis Hall","Female","Asian / Pacific Islander","No","No","None","Yes (Intermural)",1651,"Dorm",220,"High School",1534,"Dorm",1387,"Dorm",1011,"100-250","50-100","0-20","Satisfied",NA
"79",780,"Grays Hall","Male","White","No","No","None","Yes (Varsity)",178,"Dorm",42,"Social Events",744,"Home",958,"Social Events",1588,"100-250","100-250","100-250","Very Satisfied",NA
"80",724,"Wigglesworth Hall","Female","White","No","No","FOP - First-Year Outdoor Program","Yes (Club)",458,"Dorm",1573,"Classes, Athletics",466,"Athletics",1094,"Classes, Pre-Orientation",1011,"50-100","0-50","0-20","Neutral",NA
"81",168,"Matthews Hall","Female","White, Asian / Pacific Islander","No","No","None","No",480,"Mutual Friends",36,"Social Events",1098,"Mutual Friends",887,"Social Events",1011,"250-500","100-250","0-20","Satisfied",NA
"82",520,"Lionel Hall","Male","White","No","No","None","Yes (Varsity)",1396,"Athletics",107,"Athletics",149,"Athletics",1209,"Athletics",75,"50-100","0-50","0-20","Very Dissatisfied",NA
"83",630,"Thayer Hall","Male","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","Yes (Intermural)",630,"Classes, Social Events, Mutual Friends, Religious Organization",878,"Classes, Social Events, Mutual Friends, Religious Organization",1150,"Classes, Social Events, Mutual Friends, Religious Organization",1401,"Classes, Social Events, Mutual Friends, Religious Organization",756,"100-250","50-100","500-1000","Satisfied",NA
"84",860,"Wigglesworth Hall","Female","White","Yes","Yes","None","Yes (Varsity)",334,"Athletics",268,"Dorm",478,"Athletics",1287,"Athletics",478,"0-50","0-50","0-20","Satisfied",NA
"85",916,"Canaday Hall","Female","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","No",868,"Pre-Orientation",246,"Academic/Pre-Professional Organization",510,"Pre-Orientation",508,"Mutual Friends",510,"0-50","50-100","20-50","Dissatisfied",NA
"86",1532,"Canaday Hall","Female","White","No","No","None","No",845,"Classes, Social Events, Mutual Friends",394,"Classes, Mutual Friends",42,"Classes, Social Events",297,"Pre-Orientation, Social Events, Mutual Friends",875,"50-100","50-100","20-50","Very Satisfied",NA
"87",1642,"Weld Hall","Female","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","No",1622,"Dorm",553,"Creative/Performing Arts Organization, Hometown",921,"Social Events, Mutual Friends",285,"Classes, Mutual Friends, Creative/Performing Arts Organization",1011,"250-500","100-250","50-100","Satisfied",NA
"88",1046,"Wigglesworth Hall","Male","White, Hispanic or Latino","No","No","FYRE - First-Year Retreat and Experience","No",1539,"Dorm",1254,"Mutual Friends, We are both from the same place.",1493,"Mutual Friends, We are both from the same place.",871,"Pre-Orientation, Mutual Friends",1487,"50-100","0-50","20-50","Satisfied",NA
"89",639,"Hollis Hall","Female","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","No",1579,"Visit weekend",879,"Dorm",1102,"Pre-Orientation",892,"Classes",639,"250-500","100-250","250-500","Satisfied",NA
"90",1162,"Hurlbut Hall","Female","White","No","No","None","Yes (Varsity)",643,"Athletics",1536,"Athletics",1012,"Athletics",511,"Athletics",813,"0-50","50-100","20-50","Very Satisfied",NA
"91",86,"Pennypacker Hall","Female","White","No","Yes","FIP - First-Year International Program","Yes (Club)",751,"Pre-Orientation",751,"Pre-Orientation",1495,"Pre-Orientation",727,"Mutual Friends",96,"100-250","50-100","20-50","Satisfied",NA
"92",1378,"Wigglesworth Hall","Male","White","No","No","None","Yes (Varsity)",978,"Athletics",1386,"Athletics",1195,"Athletics",1191,"Athletics",1397,"50-100","50-100","0-20","Satisfied",NA
"93",1610,"Holworthy Hall","Male","White","No","Yes","FIP - First-Year International Program","Yes (Varsity)",1353,"Dorm",659,"Dorm",634,"Athletics",1481,"Dorm",634,"50-100","50-100","100-250","Satisfied",NA
"94",690,"Holworthy Hall","Male","White, Hispanic or Latino","No","No","FCU - Fall Clean-Up with Dorm Crew","Yes (Intermural)",1548,"Pre-Orientation",762,"Classes, Mutual Friends",783,"Pre-Orientation",1119,"Mutual Friends",1134,"100-250","0-50","500-1000","Very Satisfied",NA
"95",1604,"Hurlbut Hall","Female","Asian / Pacific Islander","No","No","FOP - First-Year Outdoor Program","No",1132,"Dorm",814,"Pre-Orientation, Mutual Friends",431,"Pre-Orientation, Mutual Friends",1032,"Dorm",582,"250-500","100-250","20-50","Satisfied",NA
"96",1588,"Holworthy Hall","Female","Asian / Pacific Islander","No","No","FCU - Fall Clean-Up with Dorm Crew","Yes (Varsity)",744,"Pre-Orientation",598,"Athletics",207,"Athletics",1188,"Athletics",1654,"50-100","50-100","20-50","Very Satisfied",NA
"97",609,"Canaday Hall","Male","White","No","No","FCU - Fall Clean-Up with Dorm Crew","No",838,"Mutual Friends",357,"Social Media",1515,"Mutual Friends",823,"Mutual Friends",823,"50-100","0-50","0-20","Dissatisfied",NA
"98",549,"Grays Hall","Female","White, Hispanic or Latino","No","No","FOP - First-Year Outdoor Program","No",1077,"Model UN",174,"Dorm, Pre-Orientation",1229,"Model UN",714,"Dorm",1229,"0-50","0-50","0-20","Neutral",NA
"99",1543,"Canaday Hall","Female","White","No","No","FOP - First-Year Outdoor Program","No",451,"Went to high school together",1552,"Pre-Orientation",1382,"Dorm",1524,"Mutual Friends",688,"250-500","100-250","50-100","Very Satisfied",NA
"100",1538,"Thayer Hall","Female","White, Black or African American","No","No","FCU - Fall Clean-Up with Dorm Crew","Yes (Intermural)",1343,"Pre-Orientation",350,"Creative/Performing Arts Organization",1570,"Pre-Orientation",273,"Mutual Friends",1575,"250-500","100-250","0-20","Dissatisfied",NA
"101",845,"Thayer Hall","Female","Asian / Pacific Islander","No","No","None","Yes (Varsity)",1532,"Classes",394,"Classes, Dorm",772,"Dorm",435,"Dorm",1654,"250-500","100-250","50-100","Very Satisfied",NA
"102",343,"Hollis Hall","Male","White","No","No","FCU - Fall Clean-Up with Dorm Crew","No",1470,"Social Events, Government/Politics Organization",759,"Classes, Creative/Performing Arts Organization",1436,"Classes",981,"Pre-Orientation",1654,"250-500","100-250","50-100","Neutral",NA
"103",1643,"Pennypacker Hall","Female","Asian / Pacific Islander","No","No","FAP - First-Year Arts Program","No",400,"Pre-Orientation",821,"Pre-Orientation",602,"Dorm",1207,"Classes",1575,"50-100","50-100","20-50","Satisfied",NA
"104",627,"Straus Hall","Female","Hispanic or Latino","No","No","FCU - Fall Clean-Up with Dorm Crew","No",632,"Pre-Orientation, Mutual Friends, Creative/Performing Arts Organization",350,"Creative/Performing Arts Organization",1612,"Dorm, Pre-Orientation",1654,"Classes",1654,"0-50","50-100","500-1000","Very Satisfied",NA
"105",838,"Weld Hall","Male","White","No","No","FUP - First-Year Urban Program","No",136,"Pre-Orientation",1365,"Mutual Friends",587,"Dorm",1362,"Mutual Friends",1363,"100-250","100-250","20-50","Satisfied",NA
"106",1124,"Hollis Hall","Male","Hispanic or Latino","No","No","FYRE - First-Year Retreat and Experience","No",113,"Visitas",1044,"Visitas",1134,"Dorm",1568,"Mutual Friends",1134,"0-50","0-50","0-20","Neutral",NA
"107",708,"Canaday Hall","Female","White, Hispanic or Latino, Asian / Pacific Islander","No","No","FAP - First-Year Arts Program","No",257,"Pre-Orientation",1251,"Pre-Orientation",1292,"Pre-Orientation",702,"Social Media",1575,"50-100","100-250","50-100","Satisfied",NA
"108",936,"Apley Court","Female","White, Hispanic or Latino","No","No","FUP - First-Year Urban Program","No",1269,"Dorm, Social Events, Mutual Friends, Social Media, Harvard Ed Portal Mentor",1653,"Dorm, Social Events, Mutual Friends, Social Media, WHRB",1037,"Pre-Orientation, Social Events, Mutual Friends, Social Media, Cultural/Racial Organization, Home",195,"Dorm, Social Events, Mutual Friends",1363,"50-100","100-250","20-50","Very Satisfied",NA
"109",1469,"Matthews Hall","Male","Black or African American","No","No","FOP - First-Year Outdoor Program","No",428,"Scholarship",1180,"Classes, Social Events, Mutual Friends, Social Media, Creative/Performing Arts Organization",663,"Classes, Dorm",662,"Mutual Friends",1078,"250-500","100-250","20-50","Satisfied",NA
